Faculty,Article Name,Journal Name,Abstract,Publication Year,ABDC Rating
Masa Kuroki,Casinos and House Prices: Evidence from Cities and Counties in Arkansas,Journal of Housing Research,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q6SsuLgAAAAJ&pagesize=100&citation_for_view=Q6SsuLgAAAAJ:r0BpntZqJG4C,2026.0,B 
Masa Kuroki,Casinos and Drug Crimes: Evidence from a Synthetic Control Study of Hot Springs,Journal of gambling studies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q6SsuLgAAAAJ&pagesize=100&citation_for_view=Q6SsuLgAAAAJ:iH-uZ7U-co4C,2026.0,A 
Masa Kuroki,Do casinos boost local payroll income and employment? A case study of Arkansas,Economic Development Quarterly,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q6SsuLgAAAAJ&pagesize=100&citation_for_view=Q6SsuLgAAAAJ:j3f4tGmQtD8C,2026.0,B 
Masa Kuroki,The widening mental health gap between American homeowners and renters: 2013–2023,Discover Mental Health,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q6SsuLgAAAAJ&pagesize=100&citation_for_view=Q6SsuLgAAAAJ:4JMBOYKVnBMC,2026.0,Unrated
Kuldeep Singh,Determinants of human development index (HDI): A regression analysis of economic and social indicators,arXiv preprint arXiv:2502.00006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k3uL__cAAAAJ&pagesize=100&citation_for_view=k3uL__cAAAAJ:LkGwnXOMwfcC,2025.0,Unrated
Wan Wei,An empirical analysis of the interest rate channel of monetary policy transmission in China,International Journal of Cultural Management,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8OlELbcAAAAJ&pagesize=100&citation_for_view=8OlELbcAAAAJ:UeHWp8X0CEIC,2025.0,Unrated
Kuldeep Singh,Ethical AI in the healthcare sector: Investigating key drivers of adoption through the Multi-Dimensional Ethical AI Adoption Model (MEAAM),arXiv preprint arXiv:2505.02062,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k3uL__cAAAAJ&pagesize=100&citation_for_view=k3uL__cAAAAJ:roLk4NBRz8UC,2025.0,Unrated
Matt Brown,From performance standards to evidence-based decisions: applying self-starting control charts in higher education program assessment,Cogent Education,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LZacl3wAAAAJ&pagesize=100&citation_for_view=LZacl3wAAAAJ:hFOr9nPyWt4C,2025.0,Unrated
Masa Kuroki,Does free pre-kindergarten increase birth rates? Preliminary evidence from Vermont,Research in Economics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q6SsuLgAAAAJ&pagesize=100&citation_for_view=Q6SsuLgAAAAJ:TQgYirikUcIC,2025.0,B 
Masa Kuroki,"Minimum wage and entrepreneurship: Evidence from US counties, 2010–2023",Journal of the International Council for Small Business,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q6SsuLgAAAAJ&pagesize=100&citation_for_view=Q6SsuLgAAAAJ:_Qo2XoVZTnwC,2025.0,C
Roc Huang,The influence of market liquidity on the efficiency of China's pilot carbon markets,Finance Research Letters,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jo7y9I8AAAAJ&pagesize=100&citation_for_view=Jo7y9I8AAAAJ:_FxGoFyzp5QC,2025.0,A
Masa Kuroki,The ACA Medicaid expansions and abortion rates among young adults,The European Journal of Health Economics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q6SsuLgAAAAJ&pagesize=100&citation_for_view=Q6SsuLgAAAAJ:HDshCWvjkbEC,2025.0,A
Masa Kuroki,The rising predictive power of LGBT identity in mental health: An analysis of variable importance,Annals of Epidemiology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q6SsuLgAAAAJ&pagesize=100&citation_for_view=Q6SsuLgAAAAJ:e5wmG9Sq2KIC,2025.0,Unrated
Kuldeep Singh,The dead internet theory: a survey on artificial interactions and the future of social media,arXiv preprint arXiv:2502.00007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k3uL__cAAAAJ&pagesize=100&citation_for_view=k3uL__cAAAAJ:Se3iqnhoufwC,2025.0,Unrated
Masa Kuroki,Minimum wages and suicide rates in Japan: 2009-2024,Journal of the Japanese and International Economies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q6SsuLgAAAAJ&pagesize=100&citation_for_view=Q6SsuLgAAAAJ:RHpTSmoSYBkC,2025.0,A 
Sidd Bhambhwani,Governing decentralized finance (DeFi),Available at SSRN,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xpOekbMAAAAJ&pagesize=100&citation_for_view=xpOekbMAAAAJ:eQOLeE2rZwMC,2025.0,Unrated
Masa Kuroki,Foreign residents and public assistance in Japan,The Japanese Political Economy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q6SsuLgAAAAJ&pagesize=100&citation_for_view=Q6SsuLgAAAAJ:R3hNpaxXUhUC,2025.0,B 
Sidd Bhambhwani,Auditing decentralized finance,The British Accounting Review,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xpOekbMAAAAJ&pagesize=100&citation_for_view=xpOekbMAAAAJ:LkGwnXOMwfcC,2024.0,A*
Masa Kuroki,The effect of ending public funding for abortion: evidence from West Virginia,Public Health,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q6SsuLgAAAAJ&pagesize=100&citation_for_view=Q6SsuLgAAAAJ:L8Ckcad2t8MC,2024.0,Unrated
"Kevin Mason, Matt Brown",Patient brand equity perceptions that predict brand choice preference for over-the-counter pain relief medications,International Journal of Healthcare Management,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XEpHGWAAAAAJ&pagesize=100&citation_for_view=XEpHGWAAAAAJ:Wp0gIr-vW9MC,2024.0,C
